,Foundation,1stFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,Fence,SalePrice
0,PConc,856,Gd,0,Ex,2,Gd,61,2003.0,Gd,7,GLQ,2003,548,8,2,1710,2003,65.0,,High
1,CBlock,1262,TA,1,Ex,2,Gd,0,1976.0,TA,6,ALQ,1976,460,6,2,1262,1976,80.0,,Medium
2,PConc,920,Gd,1,Ex,2,Gd,42,2001.0,Gd,7,GLQ,2001,608,6,2,1786,2002,68.0,,High
3,BrkTil,961,Gd,1,Gd,1,TA,35,1998.0,TA,7,ALQ,1915,642,7,3,1717,1970,60.0,,Medium
4,PConc,1145,Gd,1,Ex,2,Gd,84,2000.0,Gd,8,GLQ,2000,836,9,3,2198,2000,84.0,,High
5,Wood,796,TA,0,Ex,1,Gd,30,1993.0,TA,5,GLQ,1993,480,5,2,1362,1995,85.0,MnPrv,Medium
6,PConc,1694,Gd,1,Ex,2,Ex,57,2004.0,Gd,8,GLQ,2004,636,7,2,1694,2005,75.0,,High
7,CBlock,1107,TA,2,Ex,2,Gd,204,1973.0,TA,7,ALQ,1973,484,7,2,2090,1973,,,High
8,BrkTil,1022,TA,2,Gd,2,TA,0,1931.0,TA,7,Unf,1931,468,8,2,1774,1950,51.0,,Low
9,BrkTil,1077,TA,2,Ex,1,TA,4,1939.0,TA,5,GLQ,1939,205,5,1,1077,1950,50.0,,Low
10,CBlock,1040,TA,0,Ex,1,TA,0,1965.0,TA,5,Rec,1965,384,5,1,1040,1965,70.0,,Low
11,PConc,1182,Ex,2,Ex,3,Ex,21,2005.0,Ex,9,GLQ,2005,736,11,3,2324,2006,85.0,,High
12,CBlock,912,TA,0,TA,1,TA,0,1962.0,TA,5,ALQ,1962,352,4,1,912,1962,,,Medium
13,PConc,1494,Gd,1,Ex,2,Gd,33,2006.0,Gd,7,Unf,2006,840,7,3,1494,2007,91.0,,High
14,CBlock,1253,TA,1,TA,1,TA,213,1960.0,TA,6,BLQ,1960,352,5,1,1253,1960,,GdWo,Medium
15,BrkTil,854,TA,0,Ex,1,TA,112,1991.0,TA,7,Unf,1929,576,5,2,854,2001,51.0,GdPrv,Low
16,CBlock,1004,TA,1,Ex,1,TA,0,1970.0,TA,6,ALQ,1970,480,5,2,1004,1970,,,Medium
17,Slab,1296,TA,0,TA,2,,0,1967.0,TA,4,,1967,516,6,2,1296,1967,72.0,,Low
18,PConc,1114,Gd,0,Ex,1,TA,102,2004.0,TA,5,GLQ,2004,576,6,2,1114,2004,66.0,,Medium
