,Foundation,1stFlrSF,KitchenQual,Fireplaces,HeatingQC,FullBath,BsmtQual,OpenPorchSF,GarageYrBlt,ExterQual,OverallQual,BsmtFinType1,YearBuilt,GarageArea,TotRmsAbvGrd,GarageCars,GrLivArea,YearRemodAdd,LotFrontage,Fence,SalePrice
0,PConc,856,Gd,0,Ex,2,Gd,61,2003.0,Gd,7,GLQ,2003,548,8,2,1710,2003,65.0,,208500
1,CBlock,1262,TA,1,Ex,2,Gd,0,1976.0,TA,6,ALQ,1976,460,6,2,1262,1976,80.0,,181500
2,PConc,920,Gd,1,Ex,2,Gd,42,2001.0,Gd,7,GLQ,2001,608,6,2,1786,2002,68.0,,223500
3,BrkTil,961,Gd,1,Gd,1,TA,35,1998.0,TA,7,ALQ,1915,642,7,3,1717,1970,60.0,,140000
4,PConc,1145,Gd,1,Ex,2,Gd,84,2000.0,Gd,8,GLQ,2000,836,9,3,2198,2000,84.0,,250000
5,Wood,796,TA,0,Ex,1,Gd,30,1993.0,TA,5,GLQ,1993,480,5,2,1362,1995,85.0,MnPrv,143000
6,PConc,1694,Gd,1,Ex,2,Ex,57,2004.0,Gd,8,GLQ,2004,636,7,2,1694,2005,75.0,,307000
7,CBlock,1107,TA,2,Ex,2,Gd,204,1973.0,TA,7,ALQ,1973,484,7,2,2090,1973,,,200000
8,BrkTil,1022,TA,2,Gd,2,TA,0,1931.0,TA,7,Unf,1931,468,8,2,1774,1950,51.0,,129900
9,BrkTil,1077,TA,2,Ex,1,TA,4,1939.0,TA,5,GLQ,1939,205,5,1,1077,1950,50.0,,118000
10,CBlock,1040,TA,0,Ex,1,TA,0,1965.0,TA,5,Rec,1965,384,5,1,1040,1965,70.0,,129500
11,PConc,1182,Ex,2,Ex,3,Ex,21,2005.0,Ex,9,GLQ,2005,736,11,3,2324,2006,85.0,,345000
12,CBlock,912,TA,0,TA,1,TA,0,1962.0,TA,5,ALQ,1962,352,4,1,912,1962,,,144000
13,PConc,1494,Gd,1,Ex,2,Gd,33,2006.0,Gd,7,Unf,2006,840,7,3,1494,2007,91.0,,279500
14,CBlock,1253,TA,1,TA,1,TA,213,1960.0,TA,6,BLQ,1960,352,5,1,1253,1960,,GdWo,157000
15,BrkTil,854,TA,0,Ex,1,TA,112,1991.0,TA,7,Unf,1929,576,5,2,854,2001,51.0,GdPrv,132000
16,CBlock,1004,TA,1,Ex,1,TA,0,1970.0,TA,6,ALQ,1970,480,5,2,1004,1970,,,149000
17,Slab,1296,TA,0,TA,2,,0,1967.0,TA,4,,1967,516,6,2,1296,1967,72.0,,90000
18,PConc,1114,Gd,0,Ex,1,TA,102,2004.0,TA,5,GLQ,2004,576,6,2,1114,2004,66.0,,159000
19,CBlock,1339,TA,0,TA,1,TA,0,1958.0,TA,5,LwQ,1958,294,6,1,1339,1965,70.0,MnPrv,139000
20,PConc,1158,Gd,1,Ex,3,Ex,154,2005.0,Gd,8,Unf,2005,853,9,3,2376,2006,101.0,,325300
21,PConc,1108,Gd,1,Ex,1,TA,0,1930.0,TA,7,Unf,1930,280,6,1,1108,1950,57.0,GdPrv,139400
22,PConc,1795,Gd,1,Ex,2,Gd,159,2002.0,Gd,8,Unf,2002,534,7,2,1795,2002,75.0,,230000
23,PConc,1060,TA,1,TA,1,Gd,110,1976.0,TA,5,GLQ,1976,572,6,2,1060,1976,44.0,,129900
24,CBlock,1060,Gd,1,Ex,1,TA,90,1968.0,TA,5,Rec,1968,270,6,1,1060,2001,,MnPrv,154000
25,PConc,1600,Gd,1,Ex,2,Gd,56,2007.0,Gd,8,Unf,2007,890,7,3,1600,2007,110.0,,256300
26,CBlock,900,Gd,0,TA,1,TA,32,2005.0,TA,5,BLQ,1951,576,5,2,900,2000,60.0,,134800
27,PConc,1704,Gd,1,Ex,2,Ex,50,2008.0,Gd,8,GLQ,2007,772,7,3,1704,2008,98.0,,306000
28,CBlock,1600,TA,2,TA,1,TA,258,1957.0,TA,5,BLQ,1957,319,6,1,1600,1997,47.0,,207500
